,Title,Description
2439,Outdated: Find Love That Lasts When Dating Has Changed,"Everyone wants to be loved--to find someone who will stick with them through all of life\'s ups and downs, someone who is in it for the long haul. But in a world where dating is increasingly based on split-second decisions and geared toward casual relationships rather than marriage, it\'s easy for single people to feel discouraged, used, or unworthy of true love and lasting affection. Reality just never seems to match up with our (often wildly unrealistic) expectations.\n\nJonathan &quot;JP&quot; Pokluda has counseled thousands of young singles through the pain and heartbreak of dating the world\'s way. Now he wants to dispel the myths, misconceptions, and fairy tales you\'ve believed about dating and replace them with the truth from the One who invented marriage, created you to crave relationship, and is the very embodiment of true love. With plenty of true stories about relationships healed and love found, this practical book explains God\'s purposes for singleness, dating, and marriage and covers why you should date, who you should date, and how you should date.\n\nIf you\'re ready to trade the world\'s way of dating for the way that actually works, it\'s time to begin dating well."
2440,Secrets at Cedar Cabin (Lavender Tides #3),"Her mother lied about her identity and her husband wasn’t who she thought he was—can Bailey even trust herself anymore?\n\nRunning for her life in the wake of her mother’s murder, Bailey Fleming escapes to the only place she can think of—a remote, dilapidated cabin in Lavender Tides. Intending to finally get to the truth behind the lies of her past, Bailey only finds more questions when bodies are discovered near her cabin hideout along with traces of a dangerous human trafficking ring. In an unlikely partnership with FBI agent Lance Phoenix, Bailey races to understand the mystery surrounding her life and circumstances before the murderer tracks her down. \n\nMeanwhile, Lance is determined to rescue his sister, Ava, who was abducted after running away from home as a teenager. An unexpected lead brings him to the remote cabin, and he wonders if Bailey—with her suspicious past and strange connections to his sister’s case—is really who she claims to be and if she can somehow lead him to Ava. "
2441,Double Indemnity,"Someone stands to gain millions of dollars from a hunter’s accidental death . . . unless that death wasn’t an accident. Matt and Elena Thompson present the picture of perfection. But their enviable life isn’t all it seems. Their marriage is on the rocks, and financial disaster looms. Then Matt is killed in a hunting accident, and the questions and accusations begin to mount. Attorney Liz Acosta, newly arrived in the mountains of north Georgia after graduating from law school, plans to get some job experience on her resume before returning home to seek a position with a big-time firm. Intellectual pastor Connor Grantham isn’t sure that shepherding a rural congregation is what he ultimately wants to do with his life. Drawn to philosophy, theology, and nature, he’s beginning to feel more at home in north Georgia—especially after he meets the brilliant and energetic Liz. While Liz and Connor spend more time with each other and discover just how compatible two people from wildly different backgrounds can be, they’re also being drawn into the shadowy world of Matt and Elena Thompson. As the couple’s marriage counselor, Connor finds himself in the middle of their explosive arguments. As Elena’s attorney, Liz is caught in the tailspin created by Matt’s death. Together, Connor and Liz attempt to solve the mystery of what really happened to Matt. If his death is ruled an accident, then the double indemnity clause in his life insurance would go into effect, essentially doubling the payout. But as Liz sorts through the legal paperwork of who stands to gain an immense sum of money from Matt’s death, Connor is accused of the unthinkable with much more at stake than millions of dollars."
2442,The Air Raid Book Club,"&quot;A wonderful, heartwarming read.&quot; — Ruth Hogan, author of Keeper of Lost Things From the  USA Today  bestselling author of  The Brilliant Life of Eudora Honeysett  comes a heartwarming story of found family, love, and making connections through books set against the bombing of London during WWII. London, 1938: The bookstore just doesn’t feel the same to Gertie Bingham ever since the death of her beloved husband Harry. Bingham Books was a dream they shared together, and without Harry, Gertie wonders if it’s time to take her faithful old lab, Hemingway, and retire to the seaside. But fate has other plans for Gertie. In Germany, Hitler is on the rise, and Jewish families are making the heart-wrenching decision to send their children away from the growing turmoil. After a nudge from her dear friend Charles, Gertie decides to take in one of these refugees, a headstrong teenage girl named Hedy. Willful and fearless, Hedy reminds Gertie of herself at the same age, and shows her that she can’t give up just yet. With the terrible threat of war on the horizon, the world needs people like Gertie Bingham and her bookshop. When the Blitz begins and bombs whistle overhead, Gertie and Hedy come up with the idea to start an air raid book club. Together with neighbors and bookstore customers, they hold lively discussions of everything from  Winnie the Pooh  to  Wuthering Heights.  After all, a good book can do wonders to bolster people’s spirits, even in the most trying times. But even the best book can only provide a temporary escape, and as the tragic reality of the war hits home, the book club faces unimaginable losses. They will need all the strength of their stories and the bonds they’ve formed to see them through to brighter days."
2443,Wish You Were Here,"A deeply moving novel about the resilience of the human spirit in a moment of crisis. \n\nDiana O\'Toole is perfectly on track. She will be married by thirty, done having kids by thirty-five, and move out to the New York City suburbs, all while climbing the professional ladder in the cutthroat art auction world. She\'s not engaged just yet, but she knows her boyfriend, Finn, a surgical resident, is about to propose on their romantic getaway to the Galápagos—days before her thirtieth birthday. Right on time. \n\nBut then a virus that felt worlds away has appeared in the city, and on the eve of their departure, Finn breaks the news: It\'s all hands on deck at the hospital. He has to stay behind. You should still go, he assures her, since it would be a shame for all of their nonrefundable trip to go to waste. And so, reluctantly, she goes. \n\nAlmost immediately, Diana\'s dream vacation goes awry. The whole island is now under quarantine, and she is stranded until the borders reopen. Completely isolated, she must venture beyond her comfort zone. Slowly, she carves out a connection with a local family when a teenager with a secret opens up to Diana, despite her father\'s suspicion of outsiders. \n\nDiana finds herself examining her relationships, her choices, and herself—and wondering if when she goes home, she too will have evolved into someone completely different."
2444,"The Simple Wild (Wild, #1)","City girl Calla Fletcher attempts to reconnect with her estranged father, and unwittingly finds herself torn between her desire to return to the bustle of Toronto and a budding relationship with a rugged Alaskan pilot in this masterful new romance from acclaimed author K.A. Tucker.\n\nCalla Fletcher was two when her mother took her and fled the Alaskan wild, unable to handle the isolation of the extreme, rural lifestyle, leaving behind Calla’s father, Wren Fletcher, in the process. Calla never looked back, and at twenty-six, a busy life in Toronto is all she knows. But when her father reaches out to inform her that his days are numbered, Calla knows that it’s time to make the long trip back to the remote frontier town where she was born.\n\nShe braves the roaming wildlife, the odd daylight hours, the exorbitant prices, and even the occasional—dear God—outhouse, all for the chance to connect with her father: a man who, despite his many faults, she can’t help but care for. While she struggles to adjust to this new subarctic environment, Jonah—the quiet, brooding, and proud Alaskan pilot who keeps her father’s charter plane company operational—can’t imagine calling anywhere else home. And he’s clearly waiting with one hand on the throttle to fly this city girl back to where she belongs, convinced that she’s too pampered to handle the wild.\n\nJonah is probably right, but Calla is determined to prove him wrong. As time passes, she unexpectedly finds herself forming a bond with the burly pilot. As his undercurrent of disapproval dwindles, it’s replaced by friendship—or perhaps something deeper? But Calla is not in Alaska to stay and Jonah will never leave. It would be foolish of her to kindle a romance, to take the same path her parents tried—and failed at—years ago.\n\nIt’s a simple truth that turns out to be not so simple after all."
2445,"Doomsday Match (The Dresden Codex, #1)","A vacationing family becomes pawns in an ancient ritual designed to bring about a Mayan apocalypse in a riveting thriller by Wall Street Journal bestselling author Jeff Wheeler.\n\nA Mayan prophecy has waited for five centuries to be fulfilled. That time has come. Sacrifices will be made. Let the games begin.\n\nWhen Jonathan Roth and his family are invited by their neighbors, the Beasleys, to join them at a luxury retreat in Cozumel, who can refuse? It’s the perfect winter getaway. Relaxing on the beach, gourmet food, sightseeing, and free accommodations. But if it sounds too good to be true, it is.\n\nVilla Sara de Calakmul, owned by mysterious tycoon Jacob Calakmul, is more isolated compound than private resort. Armed guards patrol the jungle perimeters. Pictures of previous guests—long disappeared—adorn the walls. And there are whispers of something coming called “the game.” Even in the sweltering heat, the Roths feel a chill—and the fear that they haven’t been invited to Villa Sara. They’ve been lured. But for what purpose? And to what end?\n\nFrom the ruins, a death cult is reborn. A prophecy to bring down Western civilization is being realized. As a legendary blood sport is engaged, the Roths themselves may need to call upon ancient powers if they’re to survive, escape, and save the world from annihilation."
2446,"The Well-Watered Woman: Rooted in Truth, Growing in Grace, Flourishing in Faith","Discover the bottomless, refreshing Well of God\'s Word--and experience a fullness and peace beyond your circumstances.In the chaos of our everyday, it can be difficult to live out and apply the truths of Scripture. We want more of Jesus, but we find ourselves looking to our own lives and accomplishments for our worth and identity. And while that may buoy us for a time, we\'re often left feeling dried up, discouraged, and longing for more.Gretchen Saffles knows what it\'s like to feel overwhelmed and unable to flourish. In The Well-Watered Woman, Gretchen leads us to the Well of fullness, the Word of freedom, and the Way of fruitfulness. She teaches that God\'s Word will satisfy us for all eternity.Using Scripture and her own personal story of surrender, Gretchen offers spiritually hungry women tangible tools to not only know Jesus more but to live a life that thoroughly enjoys Him, seeks Him, and follows Him into freedom."
2447,"The Grumpy Player Next Door (Copper Valley Fireballs, #3)","An enemies-to-lovers / sports / grumpy-sunshine / neighbor romance\n\nI, Tillie Jean Rock, am not in love with my brother’s teammate. Sure, he might have those biceps and that “I am the grouchiest of grouchy bears” smolder, and he might shovel snow off his driveway next door wearing nothing but boxer shorts and rubber boots, and he might be running a side business feeding all the stray goats in town, but studliness is only skin-deep.\n\nAnd I might flirt with him every chance I get, but I swear it’s only to annoy my brother.\n\nAnd him.\n\nBecause Max Cole?\n\nUnder all of those glorious muscles and chiseled cheekbones and searing glares beats the heart of a heartless devil.\n\nI could no sooner fall in love with a guy who treats me like a kid, and judges me at every opportunity, and sets an army of garden gnomes loose on my yard, than I could fall in love with my grandfather’s pet parrot.\n\nBut I can definitely annoy him. I can one hundred percent get on board with annoying him.\n\nThat’s what you do when you don’t like your neighbor, right?\n\nBut you know what they say about love and hate…\n\nIt’s a very thin line.\n\nEspecially when the real reason I’m not in love with Max Cole—that he’s incapable of love—might not be true at all.\n\nThe Grumpy Player Next door is a fun-filled enemies-to-lovers romcom featuring a ray of sunshine on a mission, an athlete who’s only grouchy around her, and an epic prank gone wrong. It stands alone and comes complete with small-town shenanigans, a goat who’s not nearly as wise as his name suggests, and proof that sometimes, love is the best kind of vengeance."
2448,The Beast You Are: Stories,"A haunting collection of short fiction from the bestselling author of  The Pallbearers Club ,  A Head Full of Ghosts , and  The Cabin at the End of the World. Paul Tremblay has won widespread acclaim for illuminating the dark horrors of the mind in novels and stories that push the boundaries of storytelling itself. The fifteen pieces in this brilliant collection,  The Beast You Are , are all monsters of a kind, ready to loudly (and lovingly) smash through your head and into your heart. In “The Dead Thing,” a middle-schooler struggles to deal with the aftermath of her parents’ substance addictions and split. One day, her little brother claims he found a shoebox with “the dead thing” inside. He won’t show it to her and he won’t let the box out of his sight. In “The Last Conversation,” a person wakes in a sterile, white room and begins to receive instructions via intercom from a woman named Anne. When they are finally allowed to leave the room to complete a task, what they find is as shocking as it is heartbreaking. The title novella, “The Beast You Are,” is a mini epic in which the destinies and secrets of a village, a dog, and a cat are intertwined with a giant monster that returns to wreak havoc every thirty years. A masterpiece of literary horror and psychological suspense,  The Beast You Are  is a fearlessly imagined collection from one of the most electrifying and innovative writers working today."
2449,Do You Remember?,"Tess Strebel can’t recognize her own face.\n\nShe can’t recognize her home. Her bedroom is unfamiliar. And she can’t remember the handsome stranger lying next to her in bed. A stranger who claims he’s her husband.\n\nTess reads a letter in her own handwriting, composed during a rare lucid day, explaining her life as it now exists: She was in a terrible car accident one year ago. Every morning, she wakes up unable to remember most of the last decade. Including her own wedding.\n\nTess has no choice but to accept her new life and hope her memory will return. After all, why should she doubt the letter she wrote to herself? Or the kind man from the wedding photos on her dresser who seems to genuinely care about her well-being?\n\nAnd then Tess receives a text message on her phone. One that changes everything:\n\n&quot;Don’t trust the man who calls himself your husband.&quot;"
2450,100 Days of Sunlight,"When 16-year-old poetry blogger Tessa Dickinson is involved in a car accident and loses her eyesight for 100 days, she feels like her whole world has been turned upside-down. \n\nTerrified that her vision might never return, Tessa feels like she has nothing left to be happy about. But when her grandparents place an ad in the local newspaper looking for a typist to help Tessa continue writing and blogging, an unlikely answer knocks at their door: Weston Ludovico, a boy her age with bright eyes, an optimistic smile…and no legs.\n\nKnowing how angry and afraid Tessa is feeling, Weston thinks he can help her. But he has one condition — no one can tell Tessa about his disability. And because she can’t see him, she treats him with contempt: screaming at him to get out of her house and never come back. But for Weston, it’s the most amazing feeling: to be treated like a normal person, not just a sob story. So he comes back. Again and again and again.\n\nTessa spurns Weston’s “obnoxious optimism”, convinced that he has no idea what she’s going through. But Weston knows exactly how she feels and reaches into her darkness to show her that there is more than one way to experience the world. As Tessa grows closer to Weston, she finds it harder and harder to imagine life without him — and Weston can’t imagine life without her. But he still hasn’t told her the truth, and when Tessa’s sight returns he’ll have to make the hardest decision of his life: vanish from Tessa’s world…or overcome his fear of being seen.\n\n100 Days of Sunlight is a poignant and heartfelt novel by author Abbie Emmons. If you like sweet contemporary romance and strong family themes then you’ll love this touching story of hope, healing, and getting back up when life knocks you down."
2451,What Lies in the Woods,"They were eleven when they sent a killer to prison. They were heroes . . . but they were liars.\n\nNaomi Shaw used to believe in magic. Twenty-two years ago, she and her two best friends, Cassidy and Olivia, spent the summer roaming the woods, imagining a world of ceremony and wonder. They called it the Goddess Game. The summer ended suddenly when Naomi was attacked. Miraculously, she survived her seventeen stab wounds and lived to identify the man who had hurt her. The girls’ testimony put away a serial killer, wanted for murdering six women. They were heroes.\n\nAnd they were liars.\n\nFor decades, the friends have kept a secret worth killing for. But now Olivia wants to tell, and Naomi sets out to find out what really happened in the woods―no matter how dangerous the truth turns out to be."
2452,The Voice to Parliament Handbook: All the Detail You Need,"The Voice to Parliament Handbook  is an easy-to-follow guide for the millions of Australians who have expressed support for the Uluru Statement from the Heart, but want to better understand what a Voice to Parliament actually means.\n\n\'We invite you to walk with us in a movement of the Australian people for a better future.\'  These words from the Uluru Statement from the Heart are a heartfelt invitation from First Nations People to fellow Australians, who will have the opportunity to respond when the Voice referendum is put to a national vote by the Albanese Government.\n \nIndigenous leader Thomas Mayo and acclaimed journalist Kerry O’Brien have written this handbook to answer the most commonly asked questions about why the Voice should be enshrined in the Constitution, and how it might function to improve policies affecting Indigenous communities, and genuinely close the gap on inequalities at the most basic level of human dignity.\n \nA handy tool for people inclined to support a ‘yes’ vote in the referendum,  The Voice to Parliament Handbook  reflects on this historic opportunity for genuine reconciliation, to right the wrongs and heal the ruptured soul of a nation. This guide offers simple explanations, useful anecdotes, historic analogies and visual representations, so you can share it among friends, family and community networks in the build-up to the referendum.\n \nIf the ‘yes’ vote is successful this book will also become a keepsake of an important and emotional milestone in Australia\'s history."
2453,Hope,"The year is 2013 and the Greenspans are the envy of Brookline, Massachusetts, an idyllic (and idealistic) suburb west of Boston. Scott Greenspan is a successful physician with his own cardiology practice. His wife, Deb, is a pillar of the community who spends her free time helping resettle refugees. Their daughter, Maya, works at a distinguished New York publishing house and their son, Gideon, is preparing to follow in his father’s footsteps. They are an exceptional family from an exceptional place, living in exceptional times.\n\nBut when Scott is caught falsifying blood samples at work, he sets in motion a series of scandals that threatens to shatter his family. Deb leaves him for a female power broker; Maya rekindles a hazardous affair from her youth; and Gideon drops out of college to go on a dangerous journey that will put his principles to the test.\n\nFrom Brookline to Berlin to the battlefields of Syria, Hope follows the Greenspans over the course of one tumultuous year as they question, and compromise, the values that have shaped their lives. But in the midst of their disillusionment, they’ll discover their own capacity for resilience, connection, and, ultimately, hope."
2454,"Soldiers Don&#39;t Go Mad: A True Story of Friendship, Poetry, and Mental Illness During the First World War","A brilliant and poignant history of the friendship between two great war poets, Siegfried Sassoon and Wilfred Owen, alongside a narrative investigation of the origins of PTSD and the literary response to World War I\n\nFrom the moment war broke out across Europe in 1914, the world entered a new, unparalleled era of modern warfare. Soldiers faced relentless machine gun shelling, incredible artillery power, flame throwers, and gas attacks. Within the first four months of the war, the British Army recorded the nervous collapse of ten percent of its officers; the loss of such manpower to mental illness – not to mention death and physical wounds – left the army unable to fill its ranks. Second Lieutenant Wilfred Owen was twenty-four years old when he was admitted to the newly established Craiglockhart War Hospital for treatment of shell shock. A bourgeoning poet, trying to make sense of the terror he had witnessed, he read a collection of poems from a fellow officer, Siegfried Sassoon, and was impressed by his portrayal of the soldier’s plight. One month later, Sassoon himself arrived at Craiglockhart, having refused to return to the front after being wounded during battle.\n\nThough Owen and Sassoon differed in age, class, education, and interests, both were outsiders – as soldiers unfit to fight, as gay men in a homophobic country, and as Britons unwilling to support a war likely to wipe out an entire generation of young men. But more than anything else, they shared a love of the English language, and its highest expression of poetry. As their friendship evolved over their months as patients at Craiglockhart, each encouraged the other in their work, in their personal reckonings with the morality of war, as well as in their treatment. Therapy provided Owen, Sassoon, and fellow patients with insights that allowed them express themselves better, and for the 28 months that Craiglockhart was in operation, it notably incubated the era’s most significant developments in both psychiatry and poetry.\n\nDrawing on rich source materials, as well as Glass’s own deep understanding of trauma and war, SOLDIERS DON’T GO MAD tells for the first time the story of the soldiers and doctors who struggled with the effects of industrial warfare on the human psyche. Writing beyond the battlefields, to the psychiatric couch of Craiglockhart but also the literary salons, halls of power, and country houses, Glass charts the experiences of Owen and Sassoon, and of their fellow soldier-poets, alongside the greater literary response to modern warfare. As he investigates the roots of what we now know as post-traumatic stress disorder, Glass brings historical bearing to how we must consider war’s raving effects on mental health, and the ways in which creative work helps us come to terms with even the darkest of times."
2455,You Can&#39;t Stay Here Forever,"Named a must-read book of summer by: Good Morning America, People, the San Francisco Chronicle, the Los Angeles Times, the Boston Globe, and the Philadelphia Inquirer.\n\n&quot;The Shady Husband Mystery is its own literary subgenre....Katherine Lin enters the canon with her debut novel....a subtle, character-driven story about interracial marriage...[and] opposites-attract friendship....Through memories, Lin skillfully reveals Ellie and Ian’s marriage of contrasts....Lin is deft and never overbearing in her handling of race...&quot; – The New York Times Book Review\n\n“Feel like taking a trip to Hotel du Cap in the south of France? Just open up Katherine Lin\'s new novel about female friendship, identity, ambition and love….[a] beautiful, atmospheric read.” — Good Morning America\n\n&quot;Don\'t miss this trip.&quot; — People, \'Our Must-Reads for Summer\'\n\n&quot;A transportive debut.&quot; — Boston Globe\n\n&quot;An entertaining escape.&quot; — San Francisco Chronicle\n\n“Lin’s sharp writing and perspectives on the Asian American experience in modern times, the shifting tides of marriages and the complexity of friendships that signals a captivating new voice on the literary scene.” — East Bay Express\n\n“Lin’s debut is a heartwarming novel about self-discovery after loss, as she explores grief, deep disappointment, female relationships, and the Asian American perspective of living in a dominantly wealthy and privileged white society.” — Booklist\n\n&quot;A riveting debut with rich characterization, scenic setting, and sharp insights on relationships, class, and one Asian American woman’s experience.&quot; — Library Journal\n\n&quot;Lin\'s treatment of the glamorous, decadent setting, with its stream of gourmet meals and artisanal cocktails, is far from escapist . . . .she has complicated things to say about privilege and its intersection with race, ambition, and identity. A probing, astute portrayal of a fraught and late-blooming coming-of-age.&quot; — Kirkus Reviews\n--\n\nDesperate to obliterate her past, a young widow flees California for the French Riviera in this compelling debut, a tale of loss, rebirth, modern friendship, and romance that blends Sally Rooney’s wryness and psychological insight with Emma Straub\'s gorgeous scene-setting and rich relationships.\n\nJust days after her young, handsome husband dies in a car accident, Ellie Huang discovers that he had a mistress—one of her own colleagues at a prestigious San Francisco law firm. Acting on impulse—or is it grief? rage? Probably all three—Ellie cashes in Ian’s life insurance policy for an extended stay at the luxurious Hotel du Cap-Eden-Roc in Antibes, France. Accompanying her is her free-spirited best friend, Mable Chou.\n\nEllie hopes that the five-star resort on the French Riviera, with its stunning clientele and floral-scented cocktails, will be a heady escape from the real world. And at first it is. She and Mable meet an intriguing couple, Fauna and Robbie, and as their poolside chats roll into wine-soaked dinners, the four become increasingly intimate. But the sunlit getaway soon turns into a reckoning for Ellie, as long-simmering tensions and uncomfortable truths swirl to the surface.\n\nTaking the reader from San Francisco to the gilded luxury of the south of France, You Can’t Stay Here Forever is a sharply funny and exciting debut that explores the slippery nature of marriage, the push and pull between friends, and the interplay of race and privilege, seen through the eyes of a young Asian American woman."
2456,"Dead in the Water: A True Story of Hijacking, Murder, and a Global Maritime Conspiracy","“A triumph of investigative journalism.” —Tom Wright, New York Times bestselling coauthor of Billion Dollar Whale\n\n&quot;Truly one of the most nail-biting, page-turning, terrifying true-crime books I\'ve ever read.&quot; —Nick Bilton, New York Times bestselling author of American Kingpin\n\nFrom award-winning journalists Matthew Campbell and Kit Chellel, the gripping, true-crime story of a notorious maritime hijacking at the heart of a massive conspiracy—and the unsolved murder that threatened to unravel it all.\n\nIn July 2011, the oil tanker Brillante Virtuoso was drifting through the treacherous Gulf of Aden when a crew of Somali pirates attacked and set her ablaze in a devastating explosion. But when David Mockett, a maritime surveyor working for Lloyd’s of London, inspected the damaged vessel, he was left with more questions than answers. How had the pirates gotten aboard so easily? And if they wanted to steal the ship and bargain for its return, then why did they destroy it? The questions didn’t add up—and Mockett would never answer them. Soon after his inspection, David Mockett was murdered.\n\nDead in the Water is a shocking expose of the criminal inner-workings of international shipping, told through the lens of the Brillante hijacking and its aftermath. Through first-hand accounts of those who lived it—from members of the ship’s crew and witnesses to the attacks, to the ex-London detectives turned private investigators seeking to solve Mockett’s murder and bring justice to his family—award-winning Bloomberg reporters Matthew Campbell and Kit Chellel piece together the astounding truth behind one of the most brazen financial frauds in history.\n\nThe ambitious culmination of more than four years of reporting, Dead in the Water uncovers an intricate web of conspiracy amidst the lawless, old-world industry at the backbone of our new global economy."
2457,In the Wild Light,"Life in a small Appalachian town is not easy. Cash lost his mother to an opioid addiction and his Papaw is dying slowly from emphysema. Dodging drug dealers and watching out for his best friend, Delaney, is second nature. He’s been spending his summer mowing lawns while she works at Dairy Queen.\n\nBut when Delaney manages to secure both of them full rides to an elite prep school in Connecticut, Cash will have to grapple with his need to protect and love Delaney, and his love for the grandparents who saved him and the town he would have to leave behind.\n\nFrom the award-winning author of The Serpent King comes a beautiful examination of grief, found family, and young love."
2458,Kukum,"«C\'est un de ces soirs où je trayais les vaches dans la lumière du soleil couchant que je l\'ai vu pour la première fois. Un canot est apparu, descendant en silence la rivière. Un homme torse nu, à la peau cuivrée, ramait sans se presser, se laissant pousser par le courant. Il paraissait à peine plus âgé que moi. Nos regards se sont croisés. Il n\'a pas souri. Et je n\'ai pas eu peur.»Ce roman raconte l\'histoire d\'Almanda Siméon, une orpheline amoureuse qui va partager la vie des Innus de Pekuakami. Elle apprendra l\'existence nomade et la langue, et brisera les barrières imposées aux femmes autochtones. Relaté sur un ton intimiste, le parcours de cette femme exprime l\'attachement aux valeurs ancestrales des Innus et le besoin de liberté qu\'éprouvent les peuples nomades, encore aujourd\'hui."
2459,Counting Lost Stars,"New York Times bestselling author of Orphan #8, Kim van Alkemade returns with a gripping and poignant historical saga in which an unmarried college student who\'s given up her baby for adoption helps a Dutch Holocaust survivor search for his lost mother.\n\n1960, New York City:  College student Rita Klein is a pioneering woman in the new field of computer programming--until she unexpectedly becomes pregnant. At the Hudson Home for Unwed Mothers, social workers pressure her into surrendering her baby for adoption. Rita is struggling to get on with her life when she meets Jacob Nassy, a charming yet troubled man from the Netherlands who is traumatized by his childhood experience of being separated from his mother during the Holocaust. When Rita learns that Hitler\'s Final Solution was organized using Hollerith punch-card computers, she sets out to find the answers that will help Jacob heal.\n\n1941, The Hague: Cornelia Vogel is working as a punch-card operator at the Ministry of Information when a census of Holland\'s population is ordered by the Germans. After the Ministry acquires a Hollerith computer made in America, Cornelia is tasked with translating its instructions from English into Dutch. She seeks help from her fascinating Jewish neighbor, Leah Blom, an unconventional young woman whose mother was born in New York. When Cornelia learns the census is being used to persecute Holland\'s Jews, she risks everything to help Leah escape.\n\nAfter Rita uncovers a connection between Cornelia Vogel and Jacob\'s mother, long-buried secrets come to light. Will shocking revelations tear them apart, or will learning the truth about the past enable Rita and Jacob to face the future together?"
2460,"The Elissas: Three Girls, One Fate, and the Deadly Secrets of Suburbia","Three suburban girls meet at a boarding school for troubled teens.\nEight years later, they were dead.\n\nBustle editor Samantha Leach and her childhood best friend, Elissa, met as infants in the suburbs of Providence, Rhode Island, where they attended nursery, elementary school, and temple together. As seventh graders, they would steal drinks from bar mitzvahs and have boys over in Samantha’s basement—innocent, early acts of rebellion. But after one of their shared acts, Samantha was given a disciplinary warning by their private school while Elissa was dismissed altogether, and later sent away. Samantha did not know then, but Elissa had just become one of the fifty-thousand-plus kids per year who enter the Troubled Teen Industry: a network of unregulated programs meant to reform wealthy, wayward youth. \n \nLess than a year after graduation from Ponca Pines Academy, Elissa died at eighteen years old. In Samantha’s grief, she fixated on Elissa’s last years at the therapeutic boarding school, eager to understand why their paths diverged. As she spoke to mutual friends and scoured social media pages, Samantha learned of Alyssa and Alissa, Elissa’s closest friends at the school who shared both her name and penchant for partying, where drugs and alcohol became their norm. The matching Save Our Souls tattoo all three girls also had further fueled Samantha’s fixation, as she watched their lives play out online. Four years after Elissa’s death, Alyssa died, then Alissa at twenty-six. \n \nIn The Elissas, Samantha endeavors to understand why they ultimately met a shared, tragic fate that she was spared, in turn, offering a chilling account of the secret lives of young suburban women."
2461,Ottolenghi Flavor: A Cookbook,"The New York Times bestselling author of Plenty teams up with Ottolenghi Test Kitchen\'s Ixta Belfrage to reveal how flavor is created and amplified through 100+ innovative, super-delicious, plant-based recipes. Yotam Ottolenghi and Ixta Belfrage offer a next-level approach to vegetables that breaks down the fundamentals of cooking into three key elements: process, pairing, and produce. For process, Yotam and Ixta show how easy techniques such as charring and infusing can change the way you think about cooking. Discover how to unlock new depths of flavor by pairing vegetables with sweetness, fat, acidity, or chile heat, and learn to identify the produce that has the innate ability to make dishes shine.\n\nWith main courses, sides, desserts, and a whole pantry of &quot;flavor bombs&quot; (homemade condiments), there\'s something for any meal, any night of the week, including surefire hits such as Stuffed Eggplant in Curry and Coconut Dal, Spicy Mushroom Lasagne, and Romano Pepper Schnitzels."
2462,The Queens of New York,"From acclaimed author E. L. Shen comes a sun-drenched, cinematic YA novel about three Asian American girls, their unbreakable bond, and one life-changing summer, perfect for fans of The Sisterhood of the Traveling Pants.\n\nBest friends Jia Lee, Ariel Kim, and Everett Hoang are inseparable. But this summer, they won’t be together.\n\nEverett, aspiring Broadway star, hopes to nab the lead role in an Ohio theater production, but soon realizes that talent and drive can only get her so far. Brainy Ariel is flying to San Francisco for a prestigious STEM scholarship, even though her heart is in South Korea, where her sister died last year. And stable, solid Jia will be home in Flushing, juggling her parents’ Chinatown restaurant, a cute new neighbor, and dreams for an uncertain future.\n\nAs the girls navigate heartbreaking surprises and shocking self-discoveries, they find that even though they’re physically apart, they are still mighty together."
2463,"Tell Her Story: How Women Led, Taught, and Ministered in the Early Church","Women were there. For centuries, discussions of early Christianity have focused on male leaders in the church. But there is ample evidence right in the New Testament that women were actively involved in ministry, at the frontier of the gospel mission, and as respected leaders.\n\nNijay Gupta calls us to bring these women out of the shadows by shining light on their many inspiring contributions to the planting, growth, and health of the first Christian churches. He sets the context by exploring the lives of first-century women and addressing common misconceptions, then focuses on the women leaders of the early churches as revealed in Paul’s writings. We discover the major roles of people such as:\n\nPhoebe, Paul’s trusted coworker\nPrisca, strategic leader and expert teacher\nJunia, courageous apostle\nNympha, representative of countless lesser-known figures\nWhen we understand the world in which Jesus and his followers lived and what the New Testament actually attests about women in the churches, it becomes clear that women were active participants and trusted leaders all along. They were welcomed by Paul and other apostles, were equipped and trained for ministry leadership, instructed others, traveled long distances, were imprisoned―and once in a while became heroes and giants.\n\nThe New Testament writers tell their stories. It\'s time for the church to retell them, again and again."
2464,Picking up the Pieces,"In this heart-warming story from million copy bestselling author Amanda Prowse, Nora has given up on finding happiness. But has it been waiting for her all along?\n\nAs Nora and her British Army officer husband, Gordy, pack up yet another home and leave the sun of Cyprus for the drizzle of England, she can’t shake a feeling of regret—at her failure to follow her own dreams, but also, if she’s honest, at having ended up an officer’s wife at all, drifting through a life of temporary homes and temporary relationships.\n\nSince losing her parents at a young age, Nora’s life has been lacking an anchor: someone or something to make her feel secure. Her marriage has been her only permanent relationship, and just as even that appears to be fizzling out, a tragedy forces Nora into the role of legal guardian to her seven-year-old nephew, Ted. Faced suddenly with a responsibility she never dreamed of, how can Nora possibly offer the boy the kind of unconditional love he deserves, when she’s never experienced it for herself?\n\nBut as she navigates the precarious and unfamiliar world of parenthood, Nora begins to see herself through Ted’s eyes, as someone worthy of love and even joy. When she’s welcomed into the previously intimidating huddle of mums at the school gate, she has to wonder: is it too late to smash down the other barriers she’s built—and to have a second chance at a happy marriage with Gordy?"
